run: 292 municipalities · 20.1 GB used · 1086.3 GB free
OK acayucan (250/292) 50 AGEB in 0.0 min · 20.7 GB
OK huatabampo (251/292) 31 AGEB in 0.0 min · 20.7 GB
OK angostura (252/292) 14 AGEB in 0.0 min · 20.7 GB
OK teloloapan (253/292) 34 AGEB in 0.0 min · 20.7 GB
OK huejotzingo (254/292) 76 AGEB in 0.0 min · 20.7 GB
OK villagonzalezortega (255/292) 22 AGEB in 0.0 min · 20.7 GB
OK cintalapa (256/292) 30 AGEB in 0.0 min · 20.7 GB
OK tlaxco (257/292) 30 AGEB in 0.0 min · 20.7 GB
OK tecuala (258/292) 27 AGEB in 0.0 min · 20.7 GB
OK autlandenavarro (259/292) 33 AGEB in 0.0 min · 20.7 GB
OK emilianozapata30065 (260/292) 83 AGEB in 0.0 min · 20.7 GB
OK allende19004 (261/292) 33 AGEB in 0.0 min · 20.7 GB
OK bacum (262/292) 23 AGEB in 0.0 min · 20.7 GB
OK jiquilpan (263/292) 47 AGEB in 0.0 min · 20.7 GB
OK sahuayo (264/292) 55 AGEB in 0.0 min · 20.7 GB
OK santamariahuatulco (265/292) 19 AGEB in 0.0 min · 20.7 GB
OK tequila (266/292) 30 AGEB in 0.0 min · 20.7 GB
OK guachochi (267/292) 32 AGEB in 0.0 min · 20.7 GB
OK mugica (268/292) 29 AGEB in 0.0 min · 20.7 GB
OK sanblas (269/292) 12 AGEB in 0.0 min · 20.7 GB
OK tepotzotlan (270/292) 234 AGEB in 0.1 min · 20.7 GB
OK losreyes (271/292) 37 AGEB in 0.0 min · 20.7 GB
OK aguadulce (272/292) 32 AGEB in 0.0 min · 20.7 GB
OK tihuatlan (273/292) 17 AGEB in 0.0 min · 20.7 GB
OK casimirocastillo (274/292) 16 AGEB in 0.0 min · 20.7 GB
OK chemax (275/292) 18 AGEB in 0.0 min · 20.7 GB
OK uman (276/292) 120 AGEB in 0.0 min · 20.7 GB
OK tulum (277/292) 31 AGEB in 0.0 min · 20.7 GB
OK catemaco (278/292) 37 AGEB in 0.0 min · 20.7 GB
OK atlacomulco (279/292) 48 AGEB in 0.0 min · 20.7 GB
OK chignahuapan (280/292) 29 AGEB in 0.0 min · 20.7 GB
OK cuajimalpademorelos (281/292) 268 AGEB in 0.0 min · 20.7 GB
OK sayula (282/292) 31 AGEB in 0.0 min · 20.7 GB
OK parras (283/292) 31 AGEB in 0.0 min · 20.7 GB
OK ameca (284/292) 28 AGEB in 0.0 min · 20.7 GB
OK charcas (285/292) 31 AGEB in 0.0 min · 20.7 GB
OK huimanguillo (286/292) 14 AGEB in 0.0 min · 20.7 GB
OK ocoyucan (287/292) 178 AGEB in 0.0 min · 20.7 GB
OK miguelauza (288/292) 49 AGEB in 0.0 min · 20.7 GB
OK teziutlan (289/292) 52 AGEB in 0.0 min · 20.7 GB
OK tomatlan (290/292) 15 AGEB in 0.0 min · 20.7 GB
OK lomabonita (291/292) 30 AGEB in 0.0 min · 20.7 GB
OK tacambaro (292/292) 21 AGEB in 0.0 min · 20.7 GB
END run: 285 done, 7 failed ['lagosdemoreno', 'hidalgodelparral', 'elmarques', 'nuevocasasgrandes', 'laindependencia', 'comalcalco', 'amozoc']
